FOD_ID,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE,lon,lat
201839983,2013,2013-03-11T00:00:00+00:00,70,Arson,1.5,-82.75194443999999,36.86361111000008
201839984,2013,2013-03-23T00:00:00+00:00,82,Structure,1.0,-78.29111110999997,36.925277780000044
201839985,2013,2013-01-05T00:00:00+00:00,5,Children,0.1,-78.39666666999995,38.200000000000045
201839986,2013,2013-04-02T00:00:00+00:00,92,Debris Burning,0.2,-78.26863888999998,37.81658333000007
201839987,2013,2013-04-09T00:00:00+00:00,99,Equipment Use,1.0,-78.70249999999999,37.62083333000004
201839988,2013,2013-03-30T00:00:00+00:00,89,Debris Burning,0.1,-78.13888888999998,38.45333333000008
201839989,2013,2013-11-11T00:00:00+00:00,315,Debris Burning,5.0,-81.35027777999994,36.719444440000075
201839990,2013,2013-04-10T00:00:00+00:00,100,Debris Burning,0.3,-78.43264443999999,38.59160278000007
201839991,2013,2013-04-10T00:00:00+00:00,100,Debris Burning,4.0,-78.66833332999994,36.68555556000007
201839992,2013,2013-04-11T00:00:00+00:00,101,Debris Burning,3.0,-78.89944443999997,37.666944440000066
201839993,2013,2013-03-14T00:00:00+00:00,73,Miscellaneous,2.0,-78.72008332999997,37.68055556000007
201839994,2013,2013-11-12T00:00:00+00:00,316,Debris Burning,3.0,-79.19997221999995,37.26438056000006
